Nom vernaculaire,Scientific name,Famille,Statut de reproducteur,Unnamed: 4,rating,playback_used,ebird_code,channels,date,pitch,duration,filename,speed,species,number_of_notes,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,description,bitrate_of_mp3,file_type,volume,background,xc_id,url,country,author,primary_label,longitude,length,time,recordist,license,Status,No.,No. Back
Accenteur mouchet,Prunella modularis,Prunellidae,nicheur certain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergeronnette grise,Motacilla alba,Motacillidae,nicheur certain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,4.5,no,mallar3,2 (stereo),2012-06-19,Not specified,64.0,XC104614.mp3,level,Mallard,Not specified,XC104614 Mallard (Anas platyrhynchos),"['Gallinula chloropus_Eurasian Moorhen', 'Podiceps cristatus_Great Crested Grebe', ""Locustella luscinioides_Savi's Warbler""]",yes,Anas platyrhynchos, Jakubovské rybníky,48.416,44100 (Hz),alarm call,146 m,warning call about 20 ex.,320000 (bps),mp3,level,Common Moorhen (Gallinula chloropus); Great Crested Grebe (Podiceps cristatus); Savi's Warbler (Locustella luscinioides),104614.0,https://www.xeno-canto.org/104614,Slovakia,Rudo Jure?ek,Anas platyrhynchos_Mallard,16.976,>10(s),6:57,Rudo Jure?ek,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,5.0,no,mallar3,2 (stereo),2012-06-19,Not specified,32.0,XC104615.mp3,level,Mallard,Not specified,XC104615 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos, Jakubovské rybníky,48.416,44100 (Hz),alarm call,146 m,warning call about 20 ex.,320000 (bps),mp3,level,,104615.0,https://www.xeno-canto.org/104615,Slovakia,Rudo Jure?ek,Anas platyrhynchos_Mallard,16.976,>10(s),7:02,Rudo Jure?ek,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,4.5,no,mallar3,2 (stereo),2012-06-05,Not specified,65.0,XC110314.mp3,Not specified,Mallard,Not specified,XC110314 Mallard (Anas platyrhynchos),['Streptopelia decaocto_Eurasian Collared-Dove'],yes,Anas platyrhynchos," Hjo, Västergötland",58.2765,44100 (Hz),call,110 m,Call from female,320000 (bps),mp3,Not specified,Eurasian Collared Dove (Streptopelia decaocto),110314.0,https://www.xeno-canto.org/110314,Sweden,Patrik Åberg,Anas platyrhynchos_Mallard,14.2763,Not specified,03:58,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,4.5,no,mallar3,2 (stereo),2011-04-20,Not specified,18.0,XC112680.mp3,Not specified,Mallard,Not specified,XC112680 Mallard (Anas platyrhynchos),['Gallinago gallinago_Common Snipe'],yes,Anas platyrhynchos," Ryholm, Västergötland",58.5731,44100 (Hz),"call, male",90 m,,320000 (bps),mp3,Not specified,Common Snipe (Gallinago gallinago),112680.0,https://www.xeno-canto.org/112680,Sweden,Patrik Åberg,Anas platyrhynchos_Mallard,14.2489,Not specified,21:25,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,5.0,no,mallar3,1 (mono),2012-11-27,Not specified,19.0,XC113587.mp3,Not specified,Mallard,Not specified,XC113587 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Niepor?t (near  Rynia), Legionowo County, Mazowieckie",52.476,44100 (Hz),"female, male, song",70 m,displaying - 1 female and 3 males,128000 (bps),mp3,Not specified,,113587.0,https://www.xeno-canto.org/113587,Poland,Jarek Matusiak,Anas platyrhynchos_Mallard,21.0738,>10(s),10:00,Jarek Matusiak,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,5.0,no,mallar3,1 (mono),2012-12-02,Not specified,44.0,XC113968.mp3,Not specified,Mallard,Not specified,XC113968 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Konstancin-Jeziorna, Piaseczno County, Mazowieckie",52.0902,48000 (Hz),"female, song",90 m,female adoring male with head directed to the sides of body,128000 (bps),mp3,Not specified,,113968.0,https://www.xeno-canto.org/113968,Poland,Jarek Matusiak,Anas platyrhynchos_Mallard,21.12,>10(s),13:00,Jarek Matusiak,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,4.0,no,mallar3,2 (stereo),2013-02-11,decreasing,5.0,XC122883.mp3,level,Mallard,1-3,XC122883 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Amreli, Amreli, Gujarat",21.599,44100 (Hz),"call, flight call",110 m,more then 300 other duck 1 and only mallard,192000 (bps),mp3,level,,122883.0,https://www.xeno-canto.org/122883,India,vir joshi,Anas platyrhynchos_Mallard,71.2055,0-3(s),11:00,vir joshi,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,5.0,no,mallar3,2 (stereo),2013-03-03,Not specified,23.0,XC123501.mp3,level,Mallard,Not specified,XC123501 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Saasveld, Dinkelland, Overijssel",52.3247,44100 (Hz),alarm call,10 m,,192000 (bps),mp3,level,,123501.0,https://www.xeno-canto.org/123501,Netherlands,Timo Roeke,Anas platyrhynchos_Mallard,6.7908,>10(s),09:00,Timo Roeke,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,4.0,no,mallar3,1 (mono),2013-03-17,Not specified,22.0,XC125399.mp3,Not specified,Mallard,Not specified,XC125399 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Laramie, Albany, Wyoming",41.2344,48000 (Hz),"call, female, flight call, male",2200 m,,128000 (bps),mp3,Not specified,,125399.0,https://www.xeno-canto.org/125399,United States,GABRIEL LEITE,Anas platyrhynchos_Mallard,-105.854,Not specified,09:00,GABRIEL LEITE,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,4.0,no,mallar3,1 (mono),2013-03-24,Not specified,15.0,XC127149.mp3,Not specified,Mallard,Not specified,XC127149 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Schlosspark Buch, Berlin",52.637,44100 (Hz),call,60 m,contact calls given by a group of about 100 mallards gathered in an ice-free water hole,128000 (bps),mp3,Not specified,,127149.0,https://www.xeno-canto.org/127149,Germany,Lars Lachmann,Anas platyrhynchos_Mallard,13.4986,Not specified,08:28,Lars Lachmann,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,5.0,no,mallar3,1 (mono),2013-03-26,Not specified,51.0,XC127375.mp3,Not specified,Mallard,Not specified,XC127375 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Warszawa (near  Warsaw), Warszawa, Masovian Voivodeship",52.3427,48000 (Hz),"male, song",70 m,Whistling song of drakes and other voices and sounds,192000 (bps),mp3,Not specified,,127375.0,https://www.xeno-canto.org/127375,Poland,Jarek Matusiak,Anas platyrhynchos_Mallard,20.927,>10(s),12:20,Jarek Matusiak,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,4.5,no,mallar3,1 (mono),2013-04-03,Not specified,5.0,XC128369.mp3,Not specified,Mallard,Not specified,XC128369 Mallard (Anas platyrhynchos),"['Chroicocephalus ridibundus_Black-headed Gull', 'Larus canus_Mew Gull']",yes,Anas platyrhynchos," Warszawa (near  Warsaw), Warszawa, Masovian Voivodeship",52.1882,44100 (Hz),"flight call, male",80 m,Drake following hen,192000 (bps),mp3,Not specified,Black-headed Gull (Chroicocephalus ridibundus); Mew Gull (Larus canus),128369.0,https://www.xeno-canto.org/128369,Poland,Jarek Matusiak,Anas platyrhynchos_Mallard,21.0731,>10(s),11:00,Jarek Matusiak,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,5.0,no,mallar3,2 (stereo),2013-04-08,Not specified,16.0,XC128948.mp3,Not specified,Mallard,Not specified,XC128948 Mallard (Anas platyrhynchos),[],no,Anas platyrhynchos," Angelteich Ruesdorfer Moor, Heide, Schleswig-Holstein",54.174,44100 (Hz),"call, female",0 m,"Sound trapped, a big bog pound surrounded by shrubs and trees in meadow land.",256000 (bps),mp3,Not specified,,128948.0,https://www.xeno-canto.org/128948,Germany,Volker Arnold,Anas platyrhynchos_Mallard,9.131,Not specified,07:39,Volker Arnold,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,4.5,no,mallar3,2 (stereo),2013-04-26,Not specified,32.0,XC131689.mp3,Not specified,Mallard,Not specified,XC131689 Mallard (Anas platyrhynchos),['Acrocephalus schoenobaenus_Sedge Warbler'],no,Anas platyrhynchos," Fieler Moor, Nordhastedt, Dithmarschen, Schleswig-Holstein",54.155,44100 (Hz),"call, female",0 m,Reeds with ditches and single shrubs. Sound trapped.,256000 (bps),mp3,Not specified,Sedge Warbler (Acrocephalus schoenobaenus),131689.0,https://www.xeno-canto.org/131689,Germany,Volker Arnold,Anas platyrhynchos_Mallard,9.125,Not specified,07:21,Volker Arnold,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,5.0,no,mallar3,2 (stereo),2013-06-30,Not specified,25.0,XC142907.mp3,Not specified,Mallard,>20,XC142907 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Konstanz (near  Bodman-Ludwigshafen), Freiburg, Baden-Wurttemberg",47.8107,44100 (Hz),"call, juvenile",400 m,"ca 3 weeks old, with no family",256000 (bps),mp3,Not specified,,142907.0,https://www.xeno-canto.org/142907,Germany,Matthias Hemprich,Anas platyrhynchos_Mallard,9.0334,Not specified,17:30,Matthias Hemprich,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,4.0,no,mallar3,2 (stereo),2013-05-12,level,6.0,XC144367.mp3,level,Mallard,1-3,XC144367 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Jane E. Lytle Arboretum (Croton Arboretum), Croton, New York",41.2042,44100 (Hz),"female, flight call, male, wing sounds",? m,"Flushing hen, drake in background.",128000 (bps),mp3,level,,144367.0,https://www.xeno-canto.org/144367,United States,Daniel Parker,Anas platyrhynchos_Mallard,-73.8861,0-3(s),15:00,Daniel Parker,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,5.0,no,mallar3,1 (mono),2013-10-19,Not specified,12.0,XC152640.mp3,Not specified,Mallard,Not specified,XC152640 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Gmina Konstancin-Jeziorna (near  Gassy), Piaseczno County, Masovian Voivodeship",52.0697,48000 (Hz),"agresion, male, song",80 m,Starting to displaying males on the autumn,320000 (bps),mp3,Not specified,,152640.0,https://www.xeno-canto.org/152640,Poland,Jarek Matusiak,Anas platyrhynchos_Mallard,21.2041,>10(s),14:17,Jarek Matusiak,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,5.0,no,mallar3,1 (mono),2010-12-19,Not specified,42.0,XC163618.mp3,Not specified,Mallard,Not specified,XC163618 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Swan Lake, Victoria, Vancouver Island, BC",48.4644,44100 (Hz),"call, female",60 m,,128000 (bps),mp3,Not specified,,163618.0,https://www.xeno-canto.org/163618,Canada,Ian Cruickshank,Anas platyrhynchos_Mallard,-123.3734,Not specified,09:00,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,5.0,no,mallar3,2 (stereo),2014-02-08,Not specified,57.0,XC196990.mp3,Not specified,Mallard,Not specified,XC196990 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Ryholm, Västergötland",58.5731,44100 (Hz),"call, female, male",90 m,Calls from a winter flock.,320000 (bps),mp3,Not specified,,196990.0,https://www.xeno-canto.org/196990,Sweden,Patrik Åberg,Anas platyrhynchos_Mallard,14.2489,Not specified,08:17,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,5.0,no,mallar3,2 (stereo),2014-05-09,Not specified,80.0,XC196991.mp3,Not specified,Mallard,Not specified,XC196991 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Ryholm, Västergötland",58.5731,44100 (Hz),"female, song",90 m,,320000 (bps),mp3,Not specified,,196991.0,https://www.xeno-canto.org/196991,Sweden,Patrik Åberg,Anas platyrhynchos_Mallard,14.2489,Not specified,21:19,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,4.5,no,mallar3,2 (stereo),2014-02-20,Not specified,133.0,XC207216.mp3,Not specified,Mallard,Not specified,XC207216 Mallard (Anas platyrhynchos),"['Chloris chloris_European Greenfinch', 'Corvus cornix_Hooded Crow']",yes,Anas platyrhynchos," Savonlinna, Savonlinna, Southern Savonia",61.8648,44100 (Hz),"call, female, male, song",80 m,Big winter flock in the middle of city.,160000 (bps),mp3,Not specified,European Greenfinch (Chloris chloris); Hooded Crow (Corvus cornix),207216.0,https://www.xeno-canto.org/207216,Finland,Eetu Paljakka,Anas platyrhynchos_Mallard,28.896,Not specified,12:53,Eetu Paljakka,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,591.0,1229.0
Canard colvert,Anas platyrhynchos,Anatidae,hivernant,,4.5,no,mallar3,2 (stereo),2014-06-30,Not specified,15.0,XC208506.mp3,Not specified,Mallard,Not specified,XC208506 Mallard (Anas platyrhynchos),"['Branta canadensis_Canada Goose', 'Chroicocephalus ridibundus_Black-headed Gull']",yes,Anas platyrhynchos," Ryde, Isle of Wight, England",50.7303,44100 (Hz),"call, water splashing",0 m,,160000 (bps),mp3,Not specified,Canada Goose (Branta canadensis); Black-headed Gull (Chroicocephalus ridibundus),208506.0,https://www.xeno-canto.org/208506,United Kingdom,Eetu Paljakka,Anas platyrhynchos_Mallard,-1.1484,Not specified,12:13,Eetu Paljakka,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,591.0,1229.0
