Common name;Scientific name;Status;No.;No. Back
Common Ostrich;Struthio camelus;;5;0
Somali Ostrich;Struthio molybdophanes;;1;0
Greater Rhea;Rhea americana;;22;1
Lesser Rhea;Rhea pennata;;4;0
Southern Brown Kiwi;Apteryx australis;;3;0
North Island Brown Kiwi;Apteryx mantelli;;16;0
Okarito Kiwi;Apteryx rowi;;5;0
Little Spotted Kiwi;Apteryx owenii;;6;0
Great Spotted Kiwi;Apteryx haastii;;6;0
Southern Cassowary;Casuarius casuarius;;20;0
Dwarf Cassowary;Casuarius bennetti;;2;0
Northern Cassowary;Casuarius unappendiculatus;;6;1
Emu;Dromaius novaehollandiae;;14;1
Grey Tinamou;Tinamus tao;;55;82
Solitary Tinamou;Tinamus solitarius;;57;45
Black Tinamou;Tinamus osgoodi;;11;1
Great Tinamou;Tinamus major;;109;265
White-throated Tinamou;Tinamus guttatus;;47;367
Highland Tinamou;Nothocercus bonapartei;;40;17
Tawny-breasted Tinamou;Nothocercus julius;;51;9
Hooded Tinamou;Nothocercus nigrocapillus;;14;5
Berlepsch's Tinamou;Crypturellus berlepschi;;9;0
Cinereous Tinamou;Crypturellus cinereus;;222;295
Little Tinamou;Crypturellus soui;;322;438
Tepui Tinamou;Crypturellus ptaritepui;;2;0
Brown Tinamou;Crypturellus obsoletus;;183;168
Undulated Tinamou;Crypturellus undulatus;;172;709
Pale-browed Tinamou;Crypturellus transfasciatus;;31;130
Brazilian Tinamou;Crypturellus strigulosus;;65;140
Grey-legged Tinamou;Crypturellus duidae;;11;5
Red-legged Tinamou;Crypturellus erythropus;;32;12
Yellow-legged Tinamou;Crypturellus noctivagus;;43;69
Black-capped Tinamou;Crypturellus atrocapillus;;29;46
Thicket Tinamou;Crypturellus cinnamomeus;;46;38
Slaty-breasted Tinamou;Crypturellus boucardi;;23;18
Choco Tinamou;Crypturellus kerriae;;7;0
Variegated Tinamou;Crypturellus variegatus;;71;97
Rusty Tinamou;Crypturellus brevirostris;;10;0
Bartlett's Tinamou;Crypturellus bartletti;;40;83
Small-billed Tinamou;Crypturellus parvirostris;;74;49
Barred Tinamou;Crypturellus casiquiare;;3;0
Tataupa Tinamou;Crypturellus tataupa;;102;85
Red-winged Tinamou;Rhynchotus rufescens;;64;125
Huayco Tinamou;Rhynchotus maculicollis;;10;6
Taczanowski's Tinamou;Nothoprocta taczanowskii;;7;1
Ornate Tinamou;Nothoprocta ornata;;12;0
Chilean Tinamou;Nothoprocta perdicaria;;11;1
Brushland Tinamou;Nothoprocta cinerascens;;22;4
Andean Tinamou;Nothoprocta pentlandii;;36;3
Curve-billed Tinamou;Nothoprocta curvirostris;;5;0
White-bellied Nothura;Nothura boraquira;;24;7
Lesser Nothura;Nothura minor;;8;0
Darwin's Nothura;Nothura darwinii;;19;7
Spotted Nothura;Nothura maculosa;;66;23
Dwarf Tinamou;Taoniscus nanus;;38;1
Elegant Crested Tinamou;Eudromia elegans;;14;1
Quebracho Crested Tinamou;Eudromia formosa;;8;0
Puna Tinamou;Tinamotis pentlandii;;11;0
Patagonian Tinamou;Tinamotis ingoufi;;1;0
Horned Screamer;Anhima cornuta;;72;26
Northern Screamer;Chauna chavaria;;14;1
Southern Screamer;Chauna torquata;;80;44
Magpie Goose;Anseranas semipalmata;;16;12
White-faced Whistling Duck;Dendrocygna viduata;;117;34
Black-bellied Whistling Duck;Dendrocygna autumnalis;;188;79
Spotted Whistling Duck;Dendrocygna guttata;;6;2
West Indian Whistling Duck;Dendrocygna arborea;;10;2
Fulvous Whistling Duck;Dendrocygna bicolor;;51;7
Plumed Whistling Duck;Dendrocygna eytoni;;12;5
Wandering Whistling Duck;Dendrocygna arcuata;;20;6
Lesser Whistling Duck;Dendrocygna javanica;;40;6
White-backed Duck;Thalassornis leuconotus;;1;0
Cape Barren Goose;Cereopsis novaehollandiae;;3;0
Brant Goose;Branta bernicla;;129;23
Red-breasted Goose;Branta ruficollis;;6;1
Nene;Branta sandvicensis;;12;2
Canada Goose;Branta canadensis;;371;993
Barnacle Goose;Branta leucopsis;;240;114
Cackling Goose;Branta hutchinsii;;48;17
Bar-headed Goose;Anser indicus;;35;18
Emperor Goose;Anser canagicus;;7;0
Ross's Goose;Anser rossii;;33;2
Snow Goose;Anser caerulescens;;110;44
Greylag Goose;Anser anser;;490;1405
Swan Goose;Anser cygnoides;;27;16
Taiga Bean Goose;Anser fabalis;;87;21
Pink-footed Goose;Anser brachyrhynchus;;233;68
Tundra Bean Goose;Anser serrirostris;;56;27
Greater White-fronted Goose;Anser albifrons;;258;115
Lesser White-fronted Goose;Anser erythropus;;19;1
