Nom vernaculaire;Nom pour fichier;Nom latin;Famille;Statut de reproducteur;Mean frequency
Accenteur mouchet;accenteur_mouchet;Prunella modularis;Prunellidae;nicheur certain;5591
Bergeronnette grise;bergeronnette_grise;Motacilla alba;Motacillidae;nicheur certain;5088
Canard colvert;canard_colvert;Anas platyrhynchos;Anatidae;hivernant;2243
Chardonneret �l�gant;chardonneret_elegant;Carduelis carduelis;Fringillidae;nicheur certain;3988
Corneille noire;corneille_noire;Corvus corone;Corvidae;nicheur certain;1789
Epervier d'europe;epervier_d_europe;Accipiter nisus;Accipitridae;nicheur certain au Parc Montsouris;3043
Etourneau sansonnet;etourneau_sansonnet;Sturnus vulgaris;Sturnidae;nicheur certain;3197
Faucon cr�cerelle;faucon_crecerelle;Falco tinnunculus;Falconidae;nicheur certain (rue Gazan/rue de l'Amiral Mouchez);3791
Faucon hobereau;faucon_hobereau;Falco subbuteo;Falconidae;;599
Fauvette � t�te noire;fauvette_a_tete_noire;Sylvia atricapilla;Sylviidae;nicheur certain;3592
Geai des ch�nes;geai_des_chenes;Garrulus glandarius;Corvidae;nicheur certain;2847
Gobemouche gris;gobemouche_gris;Muscicapa striata;Muscicapidae;nicheur certain au Parc Montsouris;4695
Gobemouche noir;gobemouche_noir;Ficedula hypoleuca;Muscicapidae;;1748
Go�land argent�;goeland_argente;Larus argentatus;Larid�s;(Parc Montsouris) En survol (direction Montsouris);1646
Grimpereau des jardins;grimpereau_des_jardins;Certhia brachydactyla;Certhiidae;nicheur certain;6136
Grive draine;grive_draine;Turdus viscivorus;Muscicapidae;nicheur certain;2395
Grive litorne;grive_litorne;Turdus pilaris;Muscicapidae;;4689
Grive mauvis;grive_mauvis;Turdus iliacus;Muscicapidae;;1548
Grive musicienne;grive_musicienne;Turdus philomelos;Muscicapidae;nicheur certain;3243
H�ron cendr�;heron_cendre;Ardea cinerea;Ardeidae;;3247
Hirondelle rustique;hirondelle_rustique;Hirundo rustica;Hirundinidae;;4839
Hypolais polyglotte;hypolais_polyglotte;Hippolais polyglotta;Sylviidae;Tentative �chou�e en 2010;3896
Martinet noir;martinet_noir;Apus apus;Apodidae;nicheur certain;5986
Merle noir;merle_noir;Turdus merula;Muscicapidae;nicheur certain;3243
M�sange � longue queue;mesange_a_longue_queue;Aegithalos caudatus;Aegithalidae;nicheur certain;2692
M�sange bleue;mesange_bleue;Cyanistes caeruleus;Paridae;nicheur certain;5483
M�sange charbonni�re;mesange_charbonniere;Parus major;Paridae;nicheur certain;5793
M�sange hupp�e;mesange_huppee;Lophophanes cristatus;Paridae;nicheur certain;3592
M�sange noire;mesange_noire;Periparus ater;Paridae;nicheur certain;4340
Moineau domestique;moineau_domestique;Passer domesticus;Passeridae;nicheur certain;3392
Moineau friquet;moineau_friquet;Passer montanus;Passeridae;nicheur certain;3143
Mouette rieuse;mouette_rieuse;Chroicocephalus ridibundus;Larid�s;(Parc Montsouris) En survol (direction Montsouris);2897
Perruche � collier;perruche_a_collier;Psittacula krameri;Psittacid�;nicheur certain au Parc Montsouris;4046
Pic �peiche;pic_epeiche;Dendrocopos major;Picidae;;3788
Pic �peichette;pic_epeichette;Dryobates minor;Picidae;nicheur certain;649
Pic vert;pic_vert;Picus viridis;Picidae;nicheur certain au Parc Montsouris;1798
Pie bavarde;pie_bavarde;Pica pica;Corvidae;nicheur certain;3043
Pigeon biset des villes;pigeon_biset_des_villes;Columba livia;Columbidae;nicheur certain;599
Pigeon colombin;pigeon_colombin;Columba oenas;Columbidae;nicheur certain;2997
Pigeon ramier;pigeon_ramier;Columba palumbus;Columbidae;nicheur certain;499
Pinson des arbres;pinson_des_arbres;Fringilla coelebs;Fringillidae;nicheur certain;4141
Pouillot fitis;pouillot_fitis;Phylloscopus trochilus;Sylviidae;(Parc Montsouris) En survol (direction Montsouris);3846
Pouillot v�loce;pouillot_veloce;Phylloscopus collybita;Sylviidae;nicheur possible;4739
Roitelet � triple bandeau;roitelet_a_triple_bandeau;Regulus ignicapilla;Regulidae;;3040
Roitelet hupp�;roitelet_huppe;Regulus regulus;Regulidae;nicheur certain;6186
Rougegorge familier;rougegorge_familier;Erithacus rubecula;Muscicapidae;nicheur certain;1149
Rougequeue noir;rougequeue_noir;Phoenicurus ochruros;Muscicapidae;nicheur certain;4386
Serin cini;serin_cini;Serinus serinus;Fringillidae;nicheur certain;5283
Sitelle torchepot;sitelle_torchepot;Sitta europaea;Sittidae;nicheur certain;3340
Tourterelle turque;tourterelle_turque;Streptopelia decaocto;Columbidae;;898
Troglodyte mignon;trogolodyte_mignon;Troglodytes troglodytes;Troglodytidae;nicheur certain;5338
Verdier d'Europe;verdier_d_europe;Chloris chloris;Fringillidae;nicheur certain;4237
